CONSTITUENCY_NO,CONSTITUENCY,LAT,LONG
28,Alandur,13.004278764440995,80.16144333533768
182,Alangudi,10.296371809425821,79.00628623836307
223,Alangulam,8.828866104371249,77.45773605334263
225,Ambasamudram,8.674876287148528,77.38827263976718
8,Ambattur,13.1098605893074,80.1701713867614
48,Ambur,12.757482548509369,78.75746692099874
44,Anaikattu,12.8044517117077,78.99019951270706
198,Andipatti,9.777505375774979,77.46169750806892
21,Anna Nagar,13.078448295335198,80.22188049284213
105,Anthiyur,11.703610303863393,77.54995278878674
67,Arani,12.667521811005066,79.28203693701131
134,Aravakurichi,10.870985127138196,77.90689038646666
42,Arcot,12.800289279947238,79.31263774580297
149,Ariyalur,11.057755582205456,79.1486125671025
207,Aruppukkottai,9.417535055479537,78.01804474977912
129,Athoor,10.36375513340457,77.83665302156945
82,Attur,11.624560425122862,78.54083056831199
6,Avadi,13.126587774608588,80.08855570171542
112,Avanashi,11.23038901973607,77.1697032122796
52,Bargur,12.46055620980913,78.32843904482421
104,Bhavani,11.524239278217568,77.6473266595132
157,Bhuvanagiri,11.467876878512945,79.5184387523833
200,Bodinayakanur,10.007247362036706,77.3729611415865
32,Chengalpattu,12.777331954802795,80.02713489110482
62,Chengam,12.2289348462533,78.82019423088116
19,Chepauk-Thiruvallikeni,13.056788029762673,80.2715664922599
68,Cheyyar,12.700734627712311,79.57202552686935
118,Coimbatore (North),11.02783774298831,76.92801719945518
110,Coonoor,11.418877020545768,76.86344755731483
155,Cuddalore,11.802171751745407,79.74210120270999
201,Cumbum,9.819495314047302,77.28781121757581
101,Dharapuram,10.77084452032432,77.5566295666256
59,Dharmapuri,12.047532278682564,78.05630430070616
11,Dr.Radhakrishnan Nagar,13.129448303039455,80.2856674238174
86,Edappadi,11.655732942232778,77.85643802524784
16,Egmore,13.07926954343559,80.25679407296178
99,Erode (West),11.315841760735816,77.66081726591612
81,Gangavalli,11.501566578331785,78.6652317603352
70,Gingee,12.269302313941813,79.32642621095819
106,Gobichettipalayam,11.398181051420924,77.35238320425701
109,Gudalur,11.531578307550095,76.48828886977675
46,Gudiyattam,12.928972166619916,78.73089848630343
1,Gummidipoondi,13.359073155584776,80.01506671204305
18,Harbour,13.084676253967203,80.28551302225073
55,Hosur,12.757032042312208,77.86344221881647
150,Jayankondam,11.241901950886275,79.37352282737639
49,Jolarpet,12.565035802512572,78.5432551213164
65,Kalasapakkam,12.508425996904249,78.99075623055334
37,Kancheepuram,12.882446182732352,79.71626795974356
102,Kangayam,11.008483745632429,77.61034576137155
229,Kanniyakumari,8.255598403062889,77.47892288367815
135,Karur,10.992341572888842,78.08843354427478
40,Katpadi,13.02469048104603,79.20722058415808
117,Kavundampalayam,11.104550745190213,76.91822666254558
64,Kilpennathur,12.243131579161842,79.15710303070891
45,Kilvaithinankuppam,12.996101661047435,78.94375181969438
122,Kinathukadavu,10.88091161622189,76.94823999819849
13,Kolathur,13.117806145679785,80.22508279827787
53,Krishnagiri,12.48253814851926,78.17578157143127
136,Krishnarayapuram,10.79337031165847,78.18281290649354
137,Kulithalai,10.81615220905777,78.41876217862675
97,Kumarapalayam,11.401256695377556,77.77219943687909
171,Kumbakonam,10.978868511306786,79.37682893402969
148,Kunnam,11.250091465831307,79.07388349630763
156,Kurinjipadi,11.621560251248923,79.6653634748068
143,Lalgudi,10.96709569488854,78.87961245196983
126,Madathukulam,10.469837979906153,77.23373077349223
9,Madavaram,13.191418531490054,80.16196573076752
